James Harden,7.82,2009,1254,.607,.553,.361,.597,.229,35,35,7.0,14.4,.489,5.2,9.2,.564,1.9,5.2,.356,6.5,8.6,.756,6.2,4.7,1.9,0.4,3.8,3.2,22.5
Tyreke Evans,4.63,2009,1072,.529,.489,.246,.384,.268,37,35,8.6,18.8,.455,7.3,14.2,.514,1.3,4.6,.274,5.1,7.2,.711,7.4,5.3,2.9,1.1,5.0,3.3,23.6
Jonny Flynn,9.48,2009,1418,.567,.507,.298,.481,.137,38,38,6.2,13.4,.460,4.9,9.4,.521,1.3,4.0,.317,5.1,6.5,.786,2.9,7.2,1.5,0.2,3.6,1.6,18.7
Stephen Curry,-3.33,2009,1145,.604,.549,.489,.365,.348,34,34,10.9,24.0,.454,6.4,12.3,.519,4.5,11.7,.387,7.7,8.8,.876,5.3,6.6,3.0,0.3,4.4,2.8,34.0
Jordan Hill,8.80,2009,1213,.560,.537,.000,.382,.167,34,34,8.3,15.5,.537,8.3,15.5,.537,0.0,0.0,,3.9,5.9,.654,12.4,1.6,1.0,1.9,3.2,3.4,20.5
DeMar DeRozan,9.15,2009,1168,.555,.531,.098,.401,.140,35,35,6.6,12.6,.523,6.4,11.3,.562,0.2,1.2,.167,3.3,5.0,.646,6.9,1.7,1.1,0.4,2.5,2.5,16.6
Terrence Williams,8.41,2009,1266,.517,.504,.378,.298,.195,37,36,5.3,12.4,.431,3.5,7.7,.459,1.8,4.7,.385,2.1,3.7,.581,10.0,5.8,2.7,0.9,2.7,2.0,14.6
Gerald Henderson,9.07,2009,1098,.542,.494,.258,.397,.201,37,36,7.8,17.2,.450,6.3,12.8,.490,1.5,4.4,.336,5.2,6.8,.761,6.7,3.3,1.7,1.0,2.9,2.3,22.2
Tyler Hansbrough,8.35,2009,1029,.613,.524,.053,.682,.261,34,34,8.7,16.9,.514,8.3,16.0,.521,0.3,0.9,.391,9.7,11.5,.841,10.7,1.3,1.6,0.5,2.4,3.0,27.4
Earl Clark,8.41,2009,1269,.517,.492,.215,.314,.184,37,36,6.4,13.9,.457,5.4,10.9,.493,1.0,3.0,.326,2.8,4.4,.647,10.1,3.8,1.2,1.6,3.8,2.2,16.5
Austin Daye,3.55,2009,895,.560,.532,.252,.327,.255,34,33,7.1,14.9,.477,5.5,11.1,.494,1.6,3.8,.429,3.4,4.9,.706,10.4,1.7,1.1,3.1,3.3,4.3,19.3
James Johnson,7.36,2009,946,.593,.574,.200,.287,.224,31,31,7.9,14.6,.542,7.0,11.7,.598,0.9,2.9,.319,2.9,4.2,.697,11.2,2.6,1.9,2.0,3.1,3.8,19.7
Jrue Holiday,7.18,2009,950,.532,.504,.353,.249,.138,35,35,4.7,10.5,.450,3.6,6.8,.528,1.1,3.7,.307,1.9,2.6,.726,5.6,5.4,2.3,0.8,3.2,3.2,12.5
Ty Lawson,8.35,2009,1048,.659,.607,.316,.608,.263,35,35,6.9,13.1,.532,5.0,8.9,.560,1.9,4.1,.472,6.3,7.9,.798,4.0,8.8,2.9,0.2,2.5,2.3,22.2
Jeff Teague,7.36,2009,991,.615,.546,.275,.590,.227,31,31,7.3,15.0,.485,5.4,10.9,.502,1.8,4.1,.441,7.2,8.8,.817,4.1,4.4,2.3,0.8,4.2,2.7,23.6
Eric Maynor,-0.65,2009,1206,.583,.524,.341,.453,.230,34,34,8.2,17.8,.463,6.0,11.7,.516,2.2,6.1,.361,6.6,8.1,.815,4.0,7.0,1.9,0.2,3.3,2.7,25.2
Darren Collison,7.18,2009,1103,.624,.568,.302,.366,.196,35,35,6.3,12.5,.509,4.9,8.7,.558,1.5,3.8,.394,4.1,4.6,.897,3.0,6.0,2.1,0.2,3.2,1.9,18.3
