17,Sims Urban Oasis,Fully Furnished Condominium,667 sqft ,10 Sims Drive, Ready to move,2,1,"S$ 3,000 /mo",EW9 Aljunied MRT Station,0.32 km
18,Sims Urban Oasis,Condominium,250 sqft ,Sims Drive, Ready to move,Studio,0,"S$ 1,600 /mo",EW9 Aljunied MRT Station,0.32 km
19,Wing Fong Mansions,Partially Furnished Apartment,990 sqft ,12 Lorong 14 Geylang, S$ 2.53 psf,3,2,"S$ 2,500 /mo",EW9 Aljunied MRT Station,0.78 km
0,Sims Urban Oasis,Partially Furnished Condominium,736 sqft ,10 Sims Drive, Ready to move,2,1,"S$ 2,400 /mo",EW9 Aljunied MRT Station,0.32 km
1,Balmy Court,Partially Furnished Condominium,200 sqft ,6 Lorong 27A Geylang, Ready to move,Room,0,"S$ 1,200 /mo",EW9 Aljunied MRT Station,0.34 km
2,The Sunny Spring,Partially Furnished Apartment,1510 sqft ,50 Lorong 40 Geylang, Ready to move,3,2,"S$ 3,300 /mo",EW9 Aljunied MRT Station,0.85 km
3,Prime Residence,Partially Furnished Condominium,538 sqft ,41 Lorong 22 Geylang, Ready to move,1,1,"S$ 2,200 /mo",EW9 Aljunied MRT Station,0.59 km
4,Casa Aerata,Fully Furnished Apartment,603 sqft ,9 Lorong 26 Geylang, Ready to move,2,1,"S$ 2,400 /mo",EW9 Aljunied MRT Station,0.52 km
5,The Waterina,Partially Furnished Apartment,1130 sqft ,71 Lorong 40 Geylang, Ready to move,2,2,"S$ 2,899 /mo",EW9 Aljunied MRT Station,0.90 km
6,93 Jalan Dua,Fully Furnished HDB Apartment,171 sqft ,93 Jalan Dua, Ready to move,Room,0,S$ 700 /mo,EW9 Aljunied MRT Station,0.99 km
7,Sims Urban Oasis,Partially Furnished Condominium,462 sqft ,Sims Drive, S$ 4.98 psf,1,1,"S$ 2,300 /mo",EW9 Aljunied MRT Station,0.32 km
8,Sims Urban Oasis,Partially Furnished Condominium,667 sqft ,Sims Drive, Ready to move,2,1,"S$ 2,599 /mo",EW9 Aljunied MRT Station,0.32 km
9,Sims Urban Oasis,Partially Furnished Condominium,624 sqft ,Sims Drive, Ready to move,2,1,"S$ 2,599 /mo",EW9 Aljunied MRT Station,0.32 km
10,Guillemard Edge,Fully Furnished Condominium,409 sqft ,38 Lorong 30 Geylang, Ready to move,1,1,"S$ 1,850 /mo",EW9 Aljunied MRT Station,0.60 km
11,Edenz Loft,Partially Furnished Apartment,430 sqft ,11 Lorong 24 Geylang, Ready to move,1,1,"S$ 1,799 /mo",EW9 Aljunied MRT Station,0.53 km
12,Sims Urban Oasis,Partially Furnished Condominium,1033 sqft ,Sims Drive, Ready to move,3,2,"S$ 3,999 /mo",EW9 Aljunied MRT Station,0.32 km
13,Versailles,Fully Furnished Condominium,730 sqft ,133 Hemmant Road, Ready to move,2,2,"S$ 1,850 /mo",EW9 Aljunied MRT Station,0.97 km
14,111 Aljunied Crescent,Fully Furnished HDB Apartment,721 sqft ,111 Aljunied Crescent, Ready to move,2,2,"S$ 1,900 /mo",EW9 Aljunied MRT Station,0.46 km
15,Casa Aerata,Fully Furnished Apartment,420 sqft ,9 Lorong 26 Geylang, Ready to move,1,1,"S$ 1,800 /mo",EW9 Aljunied MRT Station,0.52 km
16,The Waterina,Fully Furnished Apartment,1251 sqft ,51 Lorong 40 Geylang, Available from 30 Apr,3,2,"S$ 3,800 /mo",EW9 Aljunied MRT Station,0.90 km
17,Treasures @ G19,Fully Furnished Condominium,376 sqft ,33 Lorong 19 Geylang, Ready to move,1,1,"S$ 1,900 /mo",EW9 Aljunied MRT Station,0.53 km
18,Cassia Edge,Fully Furnished Apartment,300 sqft ,343 Guillemard Road, Ready to move,Studio,0,"S$ 1,400 /mo",EW9 Aljunied MRT Station,0.62 km
19,Sims Urban Oasis,Condominium,485 sqft ,12 Sims Drive, Ready to move,1,1,"S$ 2,150 /mo",EW9 Aljunied MRT Station,0.32 km
0,Central Grove,Fully Furnished Condominium,120 sqft ,1 Geylang East Avenue 1, Ready to move,Room,0,"S$ 1,100 /mo",EW9 Aljunied MRT Station,0.18 km
