15,The Sunny Spring,Fully Furnished Apartment,1109 sqft ,50 Lorong 40 Geylang, Ready to move,2,2,"S$ 2,700 /mo",EW9 Aljunied MRT Station,0.85 km
16,41 Sims Drive,Fully Furnished HDB Apartment,700 sqft ,41 Sims Drive, Ready to move,2,1,"S$ 1,800 /mo",EW9 Aljunied MRT Station,0.81 km
17,113 Aljunied Avenue 2,Fully Furnished HDB Apartment,990 sqft ,113 Aljunied Avenue 2, Available from 1 May,3,2,"S$ 2,400 /mo",EW9 Aljunied MRT Station,0.56 km
18,Aston Mansions,Partially Furnished Apartment,1302 sqft ,3 Lorong 42 Geylang, Ready to move,3,2,"S$ 3,200 /mo",EW9 Aljunied MRT Station,0.90 km
19,Casa Aerata,Apartment,603 sqft ,9 Lorong 26 Geylang, S$ 3.32 psf,2,1,"S$ 2,000 /mo",EW9 Aljunied MRT Station,0.52 km
0,Guillemard Edge,Partially Furnished Condominium,409 sqft ,38 Lorong 30 Geylang, Available from 15 Apr,1,1,"S$ 1,900 /mo",EW9 Aljunied MRT Station,0.60 km
1,54 Cassia Crescent,Fully Furnished HDB Apartment,409 sqft ,54 Cassia Crescent, Available from 15 Apr,1,1,"S$ 1,850 /mo",EW9 Aljunied MRT Station,0.74 km
2,44 Sims Drive,Fully Furnished HDB Apartment,150 sqft ,44 Sims Drive, Ready to move,Room,0,S$ 800 /mo,EW9 Aljunied MRT Station,0.65 km
3,Sims Residences,Fully Furnished Apartment,400 sqft ,8 Lorong 39 Geylang, S$ 3.50 psf,Room,0,"S$ 1,400 /mo",EW9 Aljunied MRT Station,0.90 km
4,The Sunny Spring,Fully Furnished Apartment,969 sqft ,50 Lorong 40 Geylang, Ready to move,3,2,"S$ 3,100 /mo",EW9 Aljunied MRT Station,0.85 km
5,Silverscape,Partially Furnished Apartment,463 sqft ,39 LORONG 32 GEYLANG, S$ 3.89 psf,1,1,"S$ 1,800 /mo",EW9 Aljunied MRT Station,0.64 km
6,Ness,Partially Furnished Condominium,463 sqft ,38 Lorong 32 Geylang, S$ 4.10 psf,1,1,"S$ 1,900 /mo",EW9 Aljunied MRT Station,0.60 km
7,28 Imperial Residences,Partially Furnished Condominium,420 sqft ,28 Lorong 26 Geylang, S$ 4.52 psf,1,2,"S$ 1,900 /mo",EW9 Aljunied MRT Station,0.56 km
8,Sims Edge,Fully Furnished Apartment,581 sqft ,1 Geylang East Avenue 2, Available from 19 May,2,2,"S$ 2,400 /mo",EW9 Aljunied MRT Station,0.56 km
9,The Waterina,Partially Furnished Apartment,1356 sqft ,51 Lorong 40 Geylang, Available from 1 May,3,3,"S$ 3,700 /mo",EW9 Aljunied MRT Station,0.90 km
10,The Sunny Spring,Fully Furnished Apartment,1023 sqft ,50 Lorong 40 Geylang, Available from 7 May,3,2,"S$ 3,288 /mo",EW9 Aljunied MRT Station,0.85 km
11,Simsville,Condominium,979 sqft ,2 Geylang East Avenue 2, Ready to move,2,2,"S$ 2,900 /mo",EW9 Aljunied MRT Station,0.76 km
12,Sims Urban Oasis,Fully Furnished Condominium,463 sqft ,12 Sims Drive, Ready to move,1,1,"S$ 2,200 /mo",EW9 Aljunied MRT Station,0.32 km
13,Athena Ville,Partially Furnished Apartment,980 sqft ,25 Lorong 29 Geylang, Ready to move,2,2,"S$ 2,400 /mo",EW9 Aljunied MRT Station,0.38 km
14,Athena Ville,Partially Furnished Apartment,1044 sqft ,25 Lorong 29 Geylang, Ready to move,1,1,"S$ 2,300 /mo",EW9 Aljunied MRT Station,0.38 km
15,The Water Edge @ Geylang,Fully Furnished Condominium,495 sqft ,8 Lorong 38 Geylang, Ready to move,1,1,"S$ 2,000 /mo",EW9 Aljunied MRT Station,0.72 km
16,Guillemard Edge,Fully Furnished Condominium,861 sqft ,38 Lorong 30 Geylang, Ready to move,1,1,"S$ 2,350 /mo",EW9 Aljunied MRT Station,0.60 km
17,Sims Urban Oasis,Fully Furnished Condominium,667 sqft ,10 Sims Drive, Ready to move,2,1,"S$ 2,800 /mo",EW9 Aljunied MRT Station,0.32 km
18,Lotus @ Paya Lebar,Partially Furnished Apartment,1313 sqft ,17 Lorong 41 Geylang, Ready to move,4,2,"S$ 4,600 /mo",EW9 Aljunied MRT Station,0.92 km
19,Cassia View,Partially Furnished Condominium,1152 sqft ,320 Guillemard Road, Ready to move,3,3,"S$ 3,200 /mo",EW9 Aljunied MRT Station,0.70 km
0,Sims Edge,Fully Furnished Condominium,581 sqft ,1 Geylang East Avenue 2, S$ 4.13 psf,2,1,"S$ 2,400 /mo",EW9 Aljunied MRT Station,0.56 km
