15,Meraprime,Fully Furnished Condominium,980 sqft ,301 Jalan Bukit Ho Swee, Ready to move,2,2,"S$ 4,600 /mo",EW17 Tiong Bahru MRT Station,0.14 km
16,Twin Regency,Fully Furnished Condominium,1216 sqft ,26 Kim Tian Road, Ready to move,3,2,"S$ 5,400 /mo",EW17 Tiong Bahru MRT Station,0.23 km
17,146 Jalan Bukit Merah,Fully Furnished HDB Apartment,180 sqft ,146 Jalan Bukit Merah, Ready to move,Room,0,S$ 800 /mo,EW17 Tiong Bahru MRT Station,0.99 km
18,36 Beo Crescent,Partially Furnished HDB Apartment,650 sqft ,36 Beo Crescent, Ready to move,2,2,"S$ 2,200 /mo",EW17 Tiong Bahru MRT Station,0.26 km
19,55 Tiong Bahru Road,Fully Furnished HDB Apartment,300 sqft ,55 Tiong Bahru Road, Ready to move,Studio,0,"S$ 2,400 /mo",EW17 Tiong Bahru MRT Station,0.81 km
0,131B Kim Tian Road,Fully Furnished HDB Apartment,200 sqft ,131B Kim Tian Road, Ready to move,Room,0,S$ 800 /mo,EW17 Tiong Bahru MRT Station,0.59 km
1,2C Boon Tiong Road,Fully Furnished HDB Apartment,130 sqft ,2C Boon Tiong Road, Ready to move,Room,0,"S$ 1,000 /mo",EW17 Tiong Bahru MRT Station,0.66 km
2,Emerald Park,Fully Furnished Condominium,1208 sqft ,2 Indus Road, Ready to move,3,3,"S$ 3,800 /mo",EW17 Tiong Bahru MRT Station,0.45 km
3,58 Havelock Road,HDB Apartment,100 sqft ,58 Havelock Road, Ready to move,Room,0,"S$ 1,200 /mo",EW17 Tiong Bahru MRT Station,0.45 km
4,55 Tiong Bahru Road,Fully Furnished HDB Apartment,350 sqft ,55 Tiong Bahru Road, Ready to move,Studio,0,"S$ 2,500 /mo",EW17 Tiong Bahru MRT Station,0.81 km
5,Loft @ Nathan,Fully Furnished Apartment,350 sqft ,31 Nathan Road, Ready to move,1,1,"S$ 2,100 /mo",EW17 Tiong Bahru MRT Station,0.94 km
6,5 Delta Avenue,Fully Furnished HDB Apartment,120 sqft ,5 Delta Avenue, Ready to move,Room,0,S$ 830 /mo,EW17 Tiong Bahru MRT Station,0.70 km
7,Loft @ Nathan,Fully Furnished Condominium,990 sqft ,31 Nathan Road, Ready to move,2,2,"S$ 3,500 /mo",EW17 Tiong Bahru MRT Station,0.94 km
8,The Crest,Fully Furnished Condominium,770 sqft ,101 Prince Charles Crescent, Ready to move,2,2,"S$ 4,200 /mo",EW17 Tiong Bahru MRT Station,0.72 km
9,Highline Residences,Partially Furnished Condominium,883 sqft ,1 Kim Tian Road, Ready to move,3,2,"S$ 4,800 /mo",EW17 Tiong Bahru MRT Station,0.38 km
10,RV Residences,Partially Furnished Condominium,1216 sqft ,463 River Valley Road, Ready to move,3,2,"S$ 5,000 /mo",EW17 Tiong Bahru MRT Station,0.95 km
11,65 Tiong Poh Road,Fully Furnished Walk-up,400 sqft ,65 Tiong Poh Road, Ready to move,1,1,"S$ 2,000 /mo",EW17 Tiong Bahru MRT Station,0.75 km
12,55 Havelock Road,Fully Furnished HDB Apartment,220 sqft ,55 Havelock Road, Ready to move,Room,0,S$ 950 /mo,EW17 Tiong Bahru MRT Station,0.50 km
13,RV Residences,Partially Furnished Condominium,678 sqft ,467 River Valley Road, Ready to move,2,2,"S$ 3,800 /mo",EW17 Tiong Bahru MRT Station,0.95 km
14,Jervois Mansions,Partially Furnished Condominium,2600 sqft ,18 Jervois Road, Ready to move,3,3,"S$ 7,800 /mo",EW17 Tiong Bahru MRT Station,0.87 km
15,Jervois Mansions,Partially Furnished Condominium,3000 sqft ,18 Jervois Road, Ready to move,3,3,"S$ 9,000 /mo",EW17 Tiong Bahru MRT Station,0.87 km
16,The Crest,Partially Furnished Condominium,1195 sqft ,103 Prince Charles Crescent, S$ 4.44 psf,3,3,"S$ 5,300 /mo",EW17 Tiong Bahru MRT Station,0.72 km
17,119 Bukit Merah View,Fully Furnished HDB Apartment,150 sqft ,119 Bukit Merah View, Ready to move,Room,0,S$ 600 /mo,EW17 Tiong Bahru MRT Station,0.73 km
18,The Crest,Condominium,646 sqft ,105 Prince Charles Crescent, Ready to move,1,1,"S$ 3,650 /mo",EW17 Tiong Bahru MRT Station,0.72 km
19,Emerald Park,Partially Furnished Condominium,1163 sqft ,6 Indus Road, Ready to move,3,3,"S$ 4,000 /mo",EW17 Tiong Bahru MRT Station,0.45 km
0,Valley Park,Fully Furnished Condominium,1216 sqft ,483 River Valley Road, Ready to move,2,2,"S$ 4,500 /mo",EW17 Tiong Bahru MRT Station,0.87 km
1,5 Delta Avenue,Partially Furnished HDB Apartment,150 sqft ,5 Delta Avenue, Ready to move,1,0,S$ 700 /mo,EW17 Tiong Bahru MRT Station,0.70 km
2,RV Residences,Partially Furnished Condominium,678 sqft ,469 River Valley Road, Ready to move,2,2,"S$ 3,900 /mo",EW17 Tiong Bahru MRT Station,0.95 km
3,Redhill,Fully Furnished HDB Apartment,100 sqft ,150083, Ready to move,Room,0,S$ 800 /mo,EW17 Tiong Bahru MRT Station,0.90 km
4,Harvest Mansions,Fully Furnished Apartment,1066 sqft ,550 Havelock Road, Ready to move,2,2,"S$ 3,200 /mo",EW17 Tiong Bahru MRT Station,0.69 km
5,RV Residences,Fully Furnished Condominium,678 sqft ,467 River Valley Road, Ready to move,2,2,"S$ 3,800 /mo",EW17 Tiong Bahru MRT Station,0.95 km
6,One Jervois Condominium,Fully Furnished Condominium,1701 sqft ,One Jervois Close, Ready to move,Room,0,"S$ 2,800 /mo",EW17 Tiong Bahru MRT Station,0.81 km
7,RV Residences,Partially Furnished Condominium,678 sqft ,471 River Valley Road, Ready to move,2,2,"S$ 3,500 /mo",EW17 Tiong Bahru MRT Station,0.96 km
8,87 Zion Road,Partially Furnished HDB Apartment,1227 sqft ,87 Zion Road, S$ 2.93 psf,5,2,"S$ 3,600 /mo",EW17 Tiong Bahru MRT Station,0.80 km
9,102 Henderson Crescent,Partially Furnished HDB Apartment,860 sqft ,102 Henderson Crescent, Ready to move,Room,0,S$ 830 /mo,EW17 Tiong Bahru MRT Station,0.77 km
10,One Jervois,Partially Furnished Condominium,1841 sqft ,7 Jervois Close, Ready to move,4,4,"S$ 6,900 /mo",EW17 Tiong Bahru MRT Station,0.78 km
11,129 Kim Tian Road,Partially Furnished HDB Apartment,150 sqft ,129 Kim Tian Road, S$ 4.67 psf,Room,0,S$ 700 /mo,EW17 Tiong Bahru MRT Station,0.58 km
12,RV Residences,Partially Furnished Condominium,1216 sqft ,467 River Valley Road, Ready to move,3,2,"S$ 5,000 /mo",EW17 Tiong Bahru MRT Station,0.95 km
13,Harvest Mansions,Fully Furnished Apartment,120 sqft ,550 Havelock Road, Ready to move,Room,0,"S$ 1,400 /mo",EW17 Tiong Bahru MRT Station,0.69 km
14,65 Tiong Poh Road,Fully Furnished HDB Apartment,420 sqft ,65 Tiong Poh Road, Ready to move,Studio,0,"S$ 2,000 /mo",EW17 Tiong Bahru MRT Station,0.75 km
15,RV Residences,Partially Furnished Condominium,678 sqft ,467 River Valley Road, Ready to move,2,2,"S$ 3,300 /mo",EW17 Tiong Bahru MRT Station,0.95 km
16,RV Residences,Fully Furnished Condominium,688 sqft ,467 River Valley Road, Ready to move,2,2,"S$ 4,000 /mo",EW17 Tiong Bahru MRT Station,0.95 km
17,87 Redhill Close,Fully Furnished HDB Apartment,1200 sqft ,87 Redhill Close, Ready to move,Room,0,"S$ 1,100 /mo",EW17 Tiong Bahru MRT Station,0.89 km
18,55 Tiong Bahru Road,Fully Furnished HDB Apartment,352 sqft ,55 Tiong Bahru Road, Ready to move,Studio,0,"S$ 2,500 /mo",EW17 Tiong Bahru MRT Station,0.81 km
19,Central Green,Partially Furnished Condominium,764 sqft ,1 Jalan Membina, Ready to move,1,0,"S$ 3,000 /mo",EW17 Tiong Bahru MRT Station,0.13 km
0,146 Jalan Bukit Merah,Fully Furnished HDB Apartment,721 sqft ,146 Jalan Bukit Merah, Ready to move,2,2,"S$ 2,000 /mo",EW17 Tiong Bahru MRT Station,0.99 km
1,The Crest,Partially Furnished Condominium,1744 sqft ,105 Prince Charles Crescent, Ready to move,4,4,"S$ 7,500 /mo",EW17 Tiong Bahru MRT Station,0.72 km
2,RV Residences,Fully Furnished Condominium,861 sqft ,469 River Valley Road, S$ 5.23 psf,3,2,"S$ 4,500 /mo",EW17 Tiong Bahru MRT Station,0.95 km
3,76 Guan Chuan Street,Partially Furnished HDB Apartment,1004 sqft ,76 Guan Chuan Street, Ready to move,3,1,"S$ 3,100 /mo",EW17 Tiong Bahru MRT Station,0.62 km
4,118B Jalan Membina,Partially Furnished HDB Apartment,914 sqft ,118B Jalan Membina, S$ 3.06 psf,3,2,"S$ 2,800 /mo",EW17 Tiong Bahru MRT Station,0.48 km
5,82 Tiong Poh Road,Fully Furnished HDB Apartment,352 sqft ,82 Tiong Poh Road, Ready to move,Studio,0,"S$ 2,400 /mo",EW17 Tiong Bahru MRT Station,0.79 km
6,12 Taman Ho Swee,Partially Furnished HDB Apartment,550 sqft ,12 Taman Ho Swee, Ready to move,1,1,"S$ 1,750 /mo",EW17 Tiong Bahru MRT Station,0.66 km
7,27A Jalan Membina,Fully Furnished HDB Apartment,990 sqft ,27A Jalan Membina, Ready to move,3,2,"S$ 2,800 /mo",EW17 Tiong Bahru MRT Station,0.49 km
8,102 Henderson Crescent,Partially Furnished HDB Apartment,900 sqft ,102 Henderson Crescent, Ready to move,3,2,"S$ 2,750 /mo",EW17 Tiong Bahru MRT Station,0.77 km
9,127D Kim Tian Road,Partially Furnished HDB Apartment,947 sqft ,127D Kim Tian Road, Ready to move,3,2,"S$ 2,680 /mo",EW17 Tiong Bahru MRT Station,0.64 km
10,87 Redhill Close,HDB Apartment,100 sqft ,87 Redhill Close, Ready to move,Room,0,S$ 900 /mo,EW17 Tiong Bahru MRT Station,0.89 km
11,45 Kim Cheng Street,Fully Furnished HDB Apartment,910 sqft ,45 Kim Cheng Street, Ready to move,2,2,"S$ 2,700 /mo",EW17 Tiong Bahru MRT Station,0.54 km
12,141 Jalan Bukit Merah,Fully Furnished HDB Apartment,120 sqft ,141 Jalan Bukit Merah, Ready to move,Room,0,S$ 700 /mo,EW17 Tiong Bahru MRT Station,1.00 km
13,127D Kim Tian Road,Partially Furnished HDB Apartment,947 sqft ,127D Kim Tian Road, Ready to move,3,2,"S$ 2,680 /mo",EW17 Tiong Bahru MRT Station,0.64 km
14,Valley Park,Fully Furnished Condominium,861 sqft ,473 River Valley Road, Ready to move,1,1,"S$ 3,300 /mo",EW17 Tiong Bahru MRT Station,0.87 km
15,Domain 21,Partially Furnished Condominium,904 sqft ,21 Delta Road, Available from 20 May,2,2,"S$ 4,200 /mo",EW17 Tiong Bahru MRT Station,0.69 km
16,Central Green,Partially Furnished Condominium,1292 sqft ,9 Jalan Membina, Available from 20 Jun,3,3,"S$ 4,500 /mo",EW17 Tiong Bahru MRT Station,0.13 km
17,21 Jalan Membina,Partially Furnished HDB Apartment,120 sqft ,21 Jalan Membina, Ready to move,1,1,S$ 650 /mo,EW17 Tiong Bahru MRT Station,0.18 km
18,Central Green,Fully Furnished Condominium,764 sqft ,1 Jalan Membina, Ready to move,1,1,"S$ 3,000 /mo",EW17 Tiong Bahru MRT Station,0.13 km
19,One Jervois,Partially Furnished Condominium,1335 sqft ,7 Jervois Close, Ready to move,3,3,"S$ 5,200 /mo",EW17 Tiong Bahru MRT Station,0.78 km
0,The Crest,Partially Furnished Condominium,614 sqft ,103 Prince Charles Crescent, S$ 5.70 psf,1,1,"S$ 3,500 /mo",EW17 Tiong Bahru MRT Station,0.72 km
1,26D Jalan Membina,Partially Furnished HDB Apartment,130 sqft ,26D Jalan Membina, S$ 6.15 psf,Room,0,S$ 800 /mo,EW17 Tiong Bahru MRT Station,0.49 km
2,Emerald Park,Fully Furnished Condominium,1208 sqft ,2 Indus Road, Ready to move,3,2,"S$ 3,800 /mo",EW17 Tiong Bahru MRT Station,0.45 km
3,RV Edge,Fully Furnished Condominium,366 sqft ,2 Shanghai Road, Ready to move,1,1,"S$ 2,400 /mo",EW17 Tiong Bahru MRT Station,0.99 km
