15,Sims Edge,Fully Furnished Apartment,581 sqft ,1 Geylang East Avenue 2, Available from 19 May,2,2,"S$ 2,400 /mo",EW8 Paya Lebar MRT Station,0.63 km
16,Katong Regency,Fully Furnished Condominium,604 sqft ,15 Tanjong Katong Road, S$ 4.64 psf,1,1,"S$ 2,800 /mo",EW8 Paya Lebar MRT Station,0.37 km
17,Lotus At Paya Lebar,Partially Furnished Condominium,2500 sqft ,11 Paya Lebar Road, Ready to move,3,3,"S$ 5,750 /mo",EW8 Paya Lebar MRT Station,0.20 km
18,Athena Ville,Partially Furnished Apartment,980 sqft ,25 Lorong 29 Geylang, Ready to move,2,2,"S$ 2,400 /mo",EW8 Paya Lebar MRT Station,0.87 km
19,Athena Ville,Partially Furnished Apartment,1044 sqft ,25 Lorong 29 Geylang, Ready to move,1,1,"S$ 2,300 /mo",EW8 Paya Lebar MRT Station,0.87 km
0,The Water Edge @ Geylang,Fully Furnished Condominium,495 sqft ,8 Lorong 38 Geylang, Ready to move,1,1,"S$ 2,000 /mo",EW8 Paya Lebar MRT Station,0.69 km
1,Lotus @ Paya Lebar,Partially Furnished Apartment,1313 sqft ,17 Lorong 41 Geylang, Ready to move,4,2,"S$ 4,600 /mo",EW8 Paya Lebar MRT Station,0.34 km
2,Sims Edge,Condominium,581 sqft ,1 Geylang East Avenue 2, Ready to move,2,2,"S$ 2,400 /mo",EW8 Paya Lebar MRT Station,0.63 km
3,Joo Chiat Place,Fully Furnished Apartment,786 sqft ,(within 0.93 km), Ready to move,1,2,"S$ 2,050 /mo",EW8 Paya Lebar MRT Station,0.93 km
4,Semi-D House For Rent,Partially Furnished Semi-Detached House,"3450 sqft, 8350 sqft (land) ",Thiam Siew Avenue, Ready to move,4,4,"S$ 12,000 /mo",EW8 Paya Lebar MRT Station,0.87 km
5,Sims Edge,Fully Furnished Condominium,581 sqft ,1 Geylang East Avenue 2, S$ 4.13 psf,2,1,"S$ 2,400 /mo",EW8 Paya Lebar MRT Station,0.63 km
6,Sims Edge,Fully Furnished Condominium,484 sqft ,1 Geylang East Avenue 2, Ready to move,2,1,"S$ 2,200 /mo",EW8 Paya Lebar MRT Station,0.63 km
7,Katong Regency,Partially Furnished Condominium,549 sqft ,13 Tanjong Katong Road, Ready to move,1,1,"S$ 2,600 /mo",EW8 Paya Lebar MRT Station,0.37 km
8,PAYA LEBAR BUNGALOW,Partially Furnished Bungalow House,"2600 sqft, 9000 sqft (land) ",Thiam Swee Avenue, Ready to move,4,4,"S$ 10,199 /mo",EW8 Paya Lebar MRT Station,0.97 km
9,Centra Loft,Fully Furnished Condominium,430 sqft ,3 Lorong 35 Geylang, Ready to move,1,1,"S$ 1,999 /mo",EW8 Paya Lebar MRT Station,0.66 km
10,Sims Edge,Fully Furnished Condominium,581 sqft ,1 Geylang East Avenue 2, Ready to move,2,1,"S$ 2,400 /mo",EW8 Paya Lebar MRT Station,0.63 km
11,D'Weave,Fully Furnished Condominium,549 sqft ,5 Lorong 39 Geylang, Ready to move,2,1,"S$ 2,399 /mo",EW8 Paya Lebar MRT Station,0.41 km
12,The Waterina,Fully Furnished Apartment,1356 sqft ,51 Lorong 40 Geylang, Available from 15 May,3,2,"S$ 3,600 /mo",EW8 Paya Lebar MRT Station,0.70 km
13,The Sunny Spring,Partially Furnished Apartment,1240 sqft ,50 Lorong 40 Geylang, Ready to move,3,2,"S$ 2,800 /mo",EW8 Paya Lebar MRT Station,0.76 km
14,Centra Loft,Fully Furnished Condominium,409 sqft ,3 Lorong 35 Geylang, Ready to move,1,1,"S$ 1,888 /mo",EW8 Paya Lebar MRT Station,0.66 km
15,City Plaza,Fully Furnished Apartment,300 sqft ,810 Geylang Road, Ready to move,Room,0,"S$ 1,100 /mo",EW8 Paya Lebar MRT Station,0.39 km
16,Loft 33 @ Geylang,Fully Furnished Apartment,1216 sqft ,33 Geylang Lorong 32, Ready to move,3,3,"S$ 3,600 /mo",EW8 Paya Lebar MRT Station,0.94 km
17,The Waterina,Apartment,1346 sqft ,57 Lorong 40 Geylang, S$ 2.97 psf,3,3,"S$ 4,000 /mo",EW8 Paya Lebar MRT Station,0.70 km
18,The Waterina,Fully Furnished Apartment,667 sqft ,67 Lorong 40 Geylang, Ready to move,1,1,"S$ 2,600 /mo",EW8 Paya Lebar MRT Station,0.70 km
19,The Water Edge @ Geylang,Fully Furnished Condominium,850 sqft ,8 Lorong 38 Geylang, Available from 1 Jun,1,1,"S$ 2,600 /mo",EW8 Paya Lebar MRT Station,0.69 km
0,Imperial Heights,Fully Furnished Apartment,450 sqft ,16 Ipoh Lane, Ready to move,1,1,"S$ 2,100 /mo",EW8 Paya Lebar MRT Station,0.79 km
1,Suites @ Sims,Fully Furnished Condominium,344 sqft ,468 Sims Ave, S$ 5.81 psf,1,1,"S$ 1,999 /mo",EW8 Paya Lebar MRT Station,0.73 km
2,The Silver Fir,Partially Furnished Condominium,527 sqft ,9 Butterworth Lane, Ready to move,1,1,"S$ 2,180 /mo",EW8 Paya Lebar MRT Station,0.64 km
3,City Plaza,Fully Furnished Apartment,915 sqft ,810 Geylang Road, Ready to move,1,2,"S$ 2,400 /mo",EW8 Paya Lebar MRT Station,0.39 km
4,124 Geylang East Avenue 1,Fully Furnished HDB Apartment,190 sqft ,124 Geylang East Avenue 1, Ready to move,Room,0,S$ 500 /mo,EW8 Paya Lebar MRT Station,0.77 km
5,Galaxy Towers,Partially Furnished Apartment,1421 sqft ,32 Onan Road, Ready to move,3,2,"S$ 2,700 /mo",EW8 Paya Lebar MRT Station,0.51 km
6,Katong Regency,Partially Furnished Condominium,1464 sqft ,17 Tanjong Katong Road, Ready to move,3,3,"S$ 5,500 /mo",EW8 Paya Lebar MRT Station,0.37 km
7,Aston Mansions,Unfurnished Apartment,1302 sqft ,3 Lorong 42 Geylang, S$ 2.53 psf,3,1,"S$ 3,300 /mo",EW8 Paya Lebar MRT Station,0.55 km
8,7 Haig Road,Fully Furnished HDB Apartment,250 sqft ,7 Haig Road, Ready to move,Room,0,"S$ 1,000 /mo",EW8 Paya Lebar MRT Station,0.63 km
9,Esta Ruby,Partially Furnished Condominium,958 sqft ,500 Guillimard Road, Ready to move,2,2,"S$ 3,200 /mo",EW8 Paya Lebar MRT Station,0.47 km
10,Aston Mansions,Fully Furnished Apartment,1100 sqft ,5 Lorong 42 Geylang, Ready to move,3,3,"S$ 3,400 /mo",EW8 Paya Lebar MRT Station,0.55 km
11,Sims Edge,Condominium,581 sqft ,1 Geylang East Avenue 2, Available from 18 May,2,1,"S$ 2,400 /mo",EW8 Paya Lebar MRT Station,0.63 km
12,23 Haig Road,Partially Furnished HDB Apartment,1291 sqft ,23 Haig Road, Ready to move,3,2,"S$ 2,800 /mo",EW8 Paya Lebar MRT Station,0.56 km
13,Sims Residences,Fully Furnished Apartment,1442 sqft ,8 Lorong 39 Geylang, Ready to move,4,2,"S$ 4,300 /mo",EW8 Paya Lebar MRT Station,0.39 km
14,Centra Loft,Fully Furnished Condominium,431 sqft ,3 Lorong 35 Geylang, Ready to move,1,1,"S$ 2,000 /mo",EW8 Paya Lebar MRT Station,0.66 km
15,The Water Edge @ Geylang,Condominium,431 sqft ,8 Lorong 38 Geylang, Available from 20 Apr,1,1,"S$ 1,950 /mo",EW8 Paya Lebar MRT Station,0.69 km
16,Esta Ruby,Condominium,958 sqft ,500 Guillimard Road, Available from 1 May,2,2,"S$ 3,300 /mo",EW8 Paya Lebar MRT Station,0.47 km
17,120 Geylang East Central,Fully Furnished HDB Apartment,200 sqft ,120 Geylang East Central, Ready to move,Room,0,S$ 750 /mo,EW8 Paya Lebar MRT Station,0.98 km
18,The Sunny Spring,Fully Furnished Apartment,1100 sqft ,50 Lorong 40 Geylang, Ready to move,3,3,"S$ 3,300 /mo",EW8 Paya Lebar MRT Station,0.76 km
19,Lotus At Paya Lebar,Fully Furnished Condominium,345 sqft ,11 Paya Lebar Road, Ready to move,1,1,"S$ 2,870 /mo",EW8 Paya Lebar MRT Station,0.20 km
0,Lotus At Paya Lebar,Fully Furnished Condominium,286 sqft ,11 Paya Lebar Road, Ready to move,1,1,"S$ 2,460 /mo",EW8 Paya Lebar MRT Station,0.20 km
