11,The Lakeshore,Fully Furnished Condominium,1600 sqft ,31 Jurong West Street 41, Ready to move,3,3,"S$ 3,999 /mo",EW26 Lakeside MRT Station,0.21 km
12,The Lakeshore,Fully Furnished Condominium,947 sqft ,29 Jurong West Street 41, Ready to move,2,2,"S$ 2,750 /mo",EW26 Lakeside MRT Station,0.21 km
13,Lakeholmz,Fully Furnished Condominium,1023 sqft ,86 Corporation Road, Ready to move,2,2,"S$ 2,850 /mo",EW26 Lakeside MRT Station,0.53 km
14,The Lakeshore,Fully Furnished Condominium,1927 sqft ,31 Jurong West Street 41, Ready to move,4,3,"S$ 6,000 /mo",EW26 Lakeside MRT Station,0.21 km
15,The Lakefront Residences,Fully Furnished Condominium,400 sqft ,48 Lakeside Drive, Ready to move,1,1,"S$ 2,099 /mo",EW26 Lakeside MRT Station,0.18 km
16,436 Jurong West Avenue 1,Fully Furnished HDB Apartment,1453 sqft ,436 Jurong West Avenue 1, Ready to move,3,2,"S$ 2,300 /mo",EW26 Lakeside MRT Station,0.89 km
17,The Lakeshore,Fully Furnished Condominium,1109 sqft ,31 Jurong West Street 41, Ready to move,3,2,"S$ 3,150 /mo",EW26 Lakeside MRT Station,0.21 km
18,338A Tah Ching Road,HDB Apartment,990 sqft ,338A Tah Ching Road, Ready to move,3,2,"S$ 2,250 /mo",EW26 Lakeside MRT Station,0.73 km
19,528 Jurong West Street 52,HDB Apartment,1011 sqft ,528 Jurong West Street 52, Ready to move,Room,0,S$ 950 /mo,EW26 Lakeside MRT Station,0.60 km
0,The Lakefront Residences,Fully Furnished Condominium,1701 sqft ,46 Lakeside Drive, Ready to move,3,3,"S$ 4,500 /mo",EW26 Lakeside MRT Station,0.18 km
1,205 Boon Lay Drive,HDB Apartment,1378 sqft ,205 Boon Lay Drive, Ready to move,3,2,"S$ 2,350 /mo",EW26 Lakeside MRT Station,0.55 km
2,Caspian,Fully Furnished Condominium,1196 sqft ,52 Lakeside Drive, Ready to move,3,2,"S$ 3,600 /mo",EW26 Lakeside MRT Station,0.18 km
