18,Sophia Residence,Fully Furnished Condominium,614 sqft ,7 Sophia Road, Ready to move,1,1,"S$ 3,500 /mo",EW12 Bugis MRT Station,0.74 km
19,Sophia Residence,Fully Furnished Condominium,614 sqft ,5 Sophia Road, Ready to move,1,1,"S$ 3,500 /mo",EW12 Bugis MRT Station,0.74 km
0,Sunshine Plaza,Fully Furnished Condominium,762 sqft ,91 Bencoolen Street, Ready to move,2,1,"S$ 3,200 /mo",EW12 Bugis MRT Station,0.60 km
1,Liang Seah Place,Fully Furnished Apartment,1173 sqft ,1 Liang Seah Street, Ready to move,2,2,"S$ 4,000 /mo",EW12 Bugis MRT Station,0.31 km
2,The Bencoolen,Partially Furnished Condominium,900 sqft ,180 Bencoolen Street, S$ 3.78 psf,2,2,"S$ 3,400 /mo",EW12 Bugis MRT Station,0.31 km
3,DUO Residences,Partially Furnished Apartment,560 sqft ,1 Fraser Street, Ready to move,1,1,"S$ 3,700 /mo",EW12 Bugis MRT Station,0.28 km
4,Sophia 88,Fully Furnished Condominium,100 sqft ,88 Sophia Road, Ready to move,Room,0,"S$ 1,100 /mo",EW12 Bugis MRT Station,0.94 km
5,The Plaza,Fully Furnished Apartment,600 sqft ,7500A Beach Road, Ready to move,1,1,"S$ 2,588 /mo",EW12 Bugis MRT Station,0.50 km
6,The Plaza,Fully Furnished Apartment,807 sqft ,7500A Beach Road, Ready to move,2,2,"S$ 3,200 /mo",EW12 Bugis MRT Station,0.50 km
7,Sophia Residence,Fully Furnished Condominium,797 sqft ,5 Sophia Road, Ready to move,2,1,"S$ 3,900 /mo",EW12 Bugis MRT Station,0.74 km
8,Mackenzie Regency,Fully Furnished Condominium,550 sqft ,33 Mackenzie Road, Ready to move,1,1,"S$ 2,650 /mo",EW12 Bugis MRT Station,0.85 km
9,DUO Residences,Partially Furnished Apartment,936 sqft ,1 Fraser Street, Ready to move,2,2,"S$ 5,000 /mo",EW12 Bugis MRT Station,0.28 km
10,Concourse Skyline,Fully Furnished Condominium,1087 sqft ,300 Beach Road, Available from 1 Jun,2,2,"S$ 5,200 /mo",EW12 Bugis MRT Station,0.65 km
11,Concourse Skyline,Partially Furnished Condominium,785 sqft ,296 Beach Road, Ready to move,1,1,"S$ 3,800 /mo",EW12 Bugis MRT Station,0.65 km
12,Concourse Skyline,Fully Furnished Condominium,861 sqft ,300 Beach Road, Ready to move,1,1,"S$ 4,300 /mo",EW12 Bugis MRT Station,0.65 km
13,Waterloo Apartments,Fully Furnished Apartment,1500 sqft ,64 Waterloo Street, Ready to move,1,2,"S$ 1,100 /mo",EW12 Bugis MRT Station,0.52 km
14,Burlington Square,Fully Furnished Apartment,753 sqft ,175A Bencoolen Street, Ready to move,1,1,"S$ 2,999 /mo",EW12 Bugis MRT Station,0.41 km
15,Parc Emily,Partially Furnished Condominium,689 sqft ,5 Mount Emily Road, Ready to move,1,1,"S$ 3,250 /mo",EW12 Bugis MRT Station,0.83 km
16,Mackenzie Regency,Partially Furnished Condominium,550 sqft ,19 Mackenzie Road, Ready to move,1,1,"S$ 2,650 /mo",EW12 Bugis MRT Station,0.85 km
17,Sophia Residence,Fully Furnished Condominium,800 sqft ,9 Sophia Road, Ready to move,2,1,"S$ 3,900 /mo",EW12 Bugis MRT Station,0.74 km
18,Parc Emily,Partially Furnished Condominium,1399 sqft ,5 Mount Emily Road, Available from 7 May,3,2,"S$ 5,500 /mo",EW12 Bugis MRT Station,0.83 km
19,Concourse Skyline,Partially Furnished Condominium,11130 sqft ,300 Beach Road, Ready to move,5,8,"S$ 30,000 /mo",EW12 Bugis MRT Station,0.65 km
0,DUO Residences,Partially Furnished Apartment,936 sqft ,1 Fraser Street, Ready to move,2,2,"S$ 5,100 /mo",EW12 Bugis MRT Station,0.28 km
1,Sophia Residence,Condominium,1055 sqft ,11 Sophia Road, Ready to move,3,2,"S$ 5,300 /mo",EW12 Bugis MRT Station,0.74 km
2,DUO Residences,Partially Furnished Apartment,721 sqft ,1 Fraser Street, Ready to move,2,1,"S$ 3,999 /mo",EW12 Bugis MRT Station,0.28 km
3,DUO Residences,Partially Furnished Apartment,818 sqft ,1 Fraser Street, Ready to move,2,2,"S$ 4,700 /mo",EW12 Bugis MRT Station,0.28 km
4,Burlington Square,Partially Furnished Apartment,840 sqft ,175 Bencoolen Street, Ready to move,2,2,"S$ 3,400 /mo",EW12 Bugis MRT Station,0.41 km
5,Liv On Wilkie,Fully Furnished Apartment,400 sqft ,Wilkie Terrace, Ready to move,1,1,"S$ 2,800 /mo",EW12 Bugis MRT Station,0.84 km
6,The Bencoolen,Fully Furnished Apartment,1033 sqft ,180 Bencoolen Street, S$ 4.07 psf,3,2,"S$ 4,200 /mo",EW12 Bugis MRT Station,0.31 km
7,1 Beach Road,Fully Furnished HDB Apartment,785 sqft ,1 Beach Road, S$ 3.18 psf,2,1,"S$ 2,500 /mo",EW12 Bugis MRT Station,0.99 km
