13,Alex Residences,Partially Furnished Apartment,678 sqft ,Alexandra View, Ready to move,2,2,"S$ 3,500 /mo",EW18 Redhill MRT Station,0.06 km
14,Tanglin Regency,Fully Furnished Condominium,711 sqft ,383 Tanglin Road, Ready to move,2,2,"S$ 2,999 /mo",EW18 Redhill MRT Station,0.25 km
15,Alex Residences,Partially Furnished Apartment,1044 sqft ,Alexandra View, Ready to move,3,3,"S$ 4,000 /mo",EW18 Redhill MRT Station,0.06 km
16,Alex Residences,Partially Furnished Apartment,678 sqft ,28 Alexandra View, Ready to move,2,2,"S$ 3,500 /mo",EW18 Redhill MRT Station,0.11 km
17,Echelon,Partially Furnished Condominium,861 sqft ,7 Alexandra View, Available from 8 May,3,2,"S$ 3,900 /mo",EW18 Redhill MRT Station,0.20 km
18,125 Bukit Merah View,Unfurnished HDB Apartment,1173 sqft ,125 Bukit Merah View, Ready to move,3,2,"S$ 2,699 /mo",EW18 Redhill MRT Station,0.93 km
19,Echelon,Fully Furnished Condominium,732 sqft ,9 Alexandra View, Available from 30 Apr,2,2,"S$ 3,780 /mo",EW18 Redhill MRT Station,0.20 km
0,One Jervois,Partially Furnished Condominium,1350 sqft ,7 Jervois Close, Available from 1 May,3,2,"S$ 5,500 /mo",EW18 Redhill MRT Station,0.97 km
1,Alex Residences,Partially Furnished Apartment,926 sqft ,Alexandra View, Ready to move,3,2,"S$ 4,800 /mo",EW18 Redhill MRT Station,0.06 km
2,The Crest,Unfurnished Condominium,1367 sqft ,101 Prince Charles Crescent, Ready to move,4,4,"S$ 5,988 /mo",EW18 Redhill MRT Station,0.74 km
3,Alex Residences,Partially Furnished Condominium,1044 sqft ,Alexandra View, Ready to move,3,3,"S$ 4,500 /mo",EW18 Redhill MRT Station,0.06 km
4,Ascentia Sky,Partially Furnished Apartment,1475 sqft ,1 Alexandra View, Ready to move,3,3,"S$ 6,000 /mo",EW18 Redhill MRT Station,0.23 km
5,Ascentia Sky,Apartment,1474 sqft ,1 Alexandra View, Ready to move,3,3,"S$ 5,700 /mo",EW18 Redhill MRT Station,0.23 km
